Task External ID,Contact External ID,Subject,State ID,Tier,Days Unsigned,Missing Fields,Last Screen,Minutes Left,Call Topic,No-show Count,Payment Reference,Cancel Reason,Period Unexpired,Records Retained,Requested At,Assignee,Due,Status
P01482-T1,P01482,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 01,2026-08-11T22:10:47+05:30,done
P01500-T1,P01500,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12a,about N minutes,,,,,,,,Adviser 03,2026-07-29T02:26:20+05:30,done
P01519-T1,P01519,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; term_status; total_emi; work_optional_age,O02,about N minutes,,,,,,,,Adviser 01,2026-08-03T17:05:34+05:30,done
P01524-T1,P01524,S2b: Sign the agreement,S2b,free,61,,,,,,,,,,,Adviser 06,2026-07-27T10:34:41+05:30,done
P01540-T1,P01540,S2b: Sign the agreement,S2b,free,2,,,,,,,,,,,Adviser 03,2026-07-17T16:31:35+05:30,done
P01564-T1,P01564,S2b: Sign the agreement,S2b,free,61,,,,,,,,,,,Adviser 02,2026-07-27T18:33:18+05:30,done
P01567-T1,P01567,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; goals; work_optional_age,O02,about N minutes,,,,,,,,Adviser 02,2026-08-05T08:03:21+05:30,done
P01585-T1,P01585,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; term_status; total_emi; total_outgoings; work_optional_age,O03,about N minutes,,,,,,,,Adviser 04,2026-08-07T17:05:24+05:30,done
P01621-T1,P01621,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 03,2026-07-31T14:56:25+05:30,done
P01625-T1,P01625,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; risk_band; rpq_answers; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 02,2026-08-06T22:21:08+05:30,done
P01631-T1,P01631,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; work_optional_age,D12g,about N minutes,,,,,,,,Adviser 04,2026-07-30T09:51:32+05:30,done
P01696-T1,P01696,S19: Finish the N fields that build your plan,S19,diwm,,take_home,O02,about N minutes,,,,,,,,Adviser 05,2026-09-04T07:58:29+05:30,done
P01736-T1,P01736,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D09,about N minutes,,,,,,,,Adviser 06,2026-08-21T09:57:19+05:30,done
P01736-T2,P01736,S25: Confirm deletion,S25,diwm,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-14T05:03:20+05:30,Ops 01,2026-09-15T05:03:20+05:30,open
P01747-T1,P01747,S24: Refund status,S24,diwm,,,,,,,PAY-01747-1,Not what I expected,true,,,Ops 01,2026-09-18T07:38:36+05:30,open
P01757-T1,P01757,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; total_outgoings; work_optional_age,D05d,about N minutes,,,,,,,,Adviser 02,2026-08-10T02:27:04+05:30,done
P01768-T1,P01768,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 06,2026-08-10T09:33:45+05:30,done
P01807-T1,P01807,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12b,about N minutes,,,,,,,,Adviser 05,2026-08-17T09:26:41+05:30,done
P01807-T2,P01807,S20: Rebook your call (K05),S20,diwm,,,,,My plan,2,,,,,,Adviser 05,2026-09-21T11:20:00+05:30,open
P01810-T1,P01810,S2b: Sign the agreement,S2b,free,29,,,,,,,,,,,Adviser 04,2026-08-26T19:09:27+05:30,done
P01860-T1,P01860,S19: Finish the N fields that build your plan,S19,diwm,,goals; work_optional_age,D12g,about N minutes,,,,,,,,Adviser 05,2026-08-31T13:26:00+05:30,done
P01860-T2,P01860,S20: Rebook your call (K05),S20,diwm,,,,,My plan,2,,,,,,Adviser 05,2026-09-22T19:20:00+05:30,open
P01894-T1,P01894,S19: Finish the N fields that build your plan,S19,diwm,,,D12h,about N minutes,,,,,,,,Adviser 03,2026-08-20T10:09:51+05:30,done
P01918-T1,P01918,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; stocks; term_status; total_emi; work_optional_age,O02,about N minutes,,,,,,,,Adviser 05,2026-08-18T14:31:11+05:30,done
P01952-T1,P01952,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12b,about N minutes,,,,,,,,Adviser 02,2026-08-25T20:18:08+05:30,done
P01990-T1,P01990,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12b,about N minutes,,,,,,,,Adviser 01,2026-08-21T00:32:48+05:30,done
P01994-T1,P01994,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; goals; work_optional_age,O03,about N minutes,,,,,,,,Adviser 05,2026-09-10T00:51:11+05:30,done
P02011-T1,P02011,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12b,about N minutes,,,,,,,,Adviser 02,2026-09-08T23:02:02+05:30,done
P02068-T1,P02068,S19: Finish the N fields that build your plan,S19,diwm,,take_home,O02,about N minutes,,,,,,,,Adviser 01,2026-08-24T15:39:05+05:30,done
P02073-T1,P02073,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 02,2026-08-31T11:00:27+05:30,done
P02139-T1,P02139,S24: Refund status,S24,diy,,,,,,,PAY-02139-1,Found an adviser elsewhere,true,,,Ops 01,2026-09-18T05:50:52+05:30,open
P02141-T1,P02141,S25: Confirm deletion,S25,diwm,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-16T09:25:28+05:30,Ops 01,2026-09-17T09:25:28+05:30,open
P02167-T1,P02167,S19: Finish the N fields that build your plan,S19,diwm,,take_home,D10,about N minutes,,,,,,,,Adviser 03,2026-09-07T16:44:26+05:30,done
P02189-T1,P02189,S2b: Sign the agreement,S2b,free,30,,,,,,,,,,,Adviser 06,2026-08-25T18:36:21+05:30,done
P02190-T1,P02190,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; work_optional_age,D11c,about N minutes,,,,,,,,Adviser 06,2026-09-07T00:21:52+05:30,done
P02269-T1,P02269,S2b: Sign the agreement,S2b,free,29,,,,,,,,,,,Adviser 06,2026-08-26T18:11:26+05:30,done
P02281-T1,P02281,S2b: Sign the agreement,S2b,free,7,,,,,,,,,,,Adviser 03,2026-09-17T20:13:31+05:30,open
P02284-T1,P02284,S2b: Sign the agreement,S2b,free,29,,,,,,,,,,,Adviser 02,2026-08-26T20:12:58+05:30,done
P02311-T1,P02311,S2b: Sign the agreement,S2b,free,29,,,,,,,,,,,Adviser 01,2026-08-26T20:05:29+05:30,done
P02343-T1,P02343,S2b: Sign the agreement,S2b,free,21,,,,,,,,,,,Adviser 06,2026-09-03T20:43:53+05:30,done
P02402-T1,P02402,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 02,2026-09-04T10:29:02+05:30,done
P02425-T1,P02425,S19: Finish the N fields that build your plan,S19,diwm,,take_home,D12h,about N minutes,,,,,,,,Adviser 01,2026-09-11T12:45:10+05:30,done
P02425-T2,P02425,S25: Confirm deletion,S25,diwm,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-18T12:51:10+05:30,Ops 01,2026-09-21T12:51:10+05:30,open
P02430-T1,P02430,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; work_optional_age,O03,about N minutes,,,,,,,,Adviser 01,2026-09-07T16:37:09+05:30,done
P02432-T1,P02432,S25: Confirm deletion,S25,diwm,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-16T12:59:20+05:30,Ops 01,2026-09-17T12:59:20+05:30,open
P02453-T1,P02453,S2b: Sign the agreement,S2b,free,22,,,,,,,,,,,Adviser 03,2026-09-02T16:16:09+05:30,done
P02458-T1,P02458,S19: Finish the N fields that build your plan,S19,diwm,,goals; health_status; term_status; total_outgoings; work_optional_age,D12f,about N minutes,,,,,,,,Adviser 05,2026-09-11T12:10:05+05:30,done
P02551-T1,P02551,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 03,2026-09-14T10:49:25+05:30,done
P02565-T1,P02565,S2b: Sign the agreement,S2b,free,6,,,,,,,,,,,Adviser 06,2026-09-18T15:54:49+05:30,open
P02616-T1,P02616,S2b: Sign the agreement,S2b,free,9,,,,,,,,,,,Adviser 04,2026-09-15T17:52:52+05:30,done
P02625-T1,P02625,S2b: Sign the agreement,S2b,free,15,,,,,,,,,,,Adviser 05,2026-09-09T22:43:26+05:30,done
P02662-T1,P02662,S24: Refund status,S24,diy,,,,,,,PAY-02662-1,Not what I expected,true,,,Ops 01,2026-09-18T13:49:25+05:30,open
P02785-T1,P02785,S24: Refund status,S24,diwm,,,,,,,PAY-02785-1,Too expensive for me right now,true,,,Ops 01,2026-09-21T03:15:03+05:30,open
P02839-T1,P02839,S24: Refund status,S24,diy,,,,,,,PAY-02839-1,Not what I expected,true,,,Ops 01,2026-09-21T08:20:10+05:30,open
P02861-T1,P02861,S20: Rebook your call (K05),S20,diwm,,,,,My numbers,2,,,,,,Adviser 01,2026-09-23T12:20:00+05:30,open
P02907-T1,P02907,S24: Refund status,S24,diy,,,,,,,PAY-02907-1,Not what I expected,true,,,Ops 01,2026-09-21T23:54:23+05:30,open
P02910-T1,P02910,S2b: Sign the agreement,S2b,free,3,,,,,,,,,,,Adviser 06,2026-09-21T09:57:29+05:30,open
