Task External ID,Contact External ID,Subject,State ID,Tier,Days Unsigned,Missing Fields,Last Screen,Minutes Left,Call Topic,No-show Count,Payment Reference,Cancel Reason,Period Unexpired,Records Retained,Requested At,Assignee,Due,Status,Outcome,Admin Link
P00257-T1,P00257,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O03,about N minutes,,,,,,,,Adviser 01,2026-07-29T00:18:04+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00257
P00296-T1,P00296,S25: Confirm deletion,S25,diy,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-15T04:46:33+05:30,Ops 01,2026-09-16T04:46:33+05:30,open,pending,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00296
P00311-T1,P00311,S2b: Sign the agreement,S2b,free,44,,,,,,,,,,,Adviser 01,2026-08-11T21:41:34+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00311
P00317-T1,P00317,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits,O02,about N minutes,,,,,,,,Adviser 05,2026-08-18T16:52:55+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00317
P00332-T1,P00332,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 04,2026-08-20T13:32:41+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00332
P00340-T1,P00340,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 02,2026-09-15T10:17:51+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00340
P00341-T1,P00341,S2b: Sign the agreement,S2b,free,44,,,,,,,,,,,Adviser 06,2026-08-11T14:34:04+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00341
P00397-T1,P00397,S24: Refund status,S24,diy,,,,,,,PAY-00397-1,Too expensive for me right now,true,,,Ops 01,2026-09-22T12:10:13+05:30,open,pending,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00397
P00410-T1,P00410,S24: Refund status,S24,diwm,,,,,,,PAY-00410-1,Found an adviser elsewhere,true,,,Ops 01,2026-09-24T05:53:53+05:30,open,pending,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00410
P00411-T1,P00411,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,A09,about N minutes,,,,,,,,Adviser 06,2026-09-03T09:09:02+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00411
P00423-T1,P00423,S2b: Sign the agreement,S2b,free,17,,,,,,,,,,,Adviser 06,2026-09-07T21:17:23+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00423
P00432-T1,P00432,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,A09,about N minutes,,,,,,,,Adviser 03,2026-09-11T18:38:30+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00432
